Load model successfully: cls/cls_iter_30600_acc_0.920989.pth
Repeat   1 	 Acc: 0.920989
Repeat 182 	 Acc: 0.920583
Repeat 183 	 Acc: 0.918963
Repeat 184 	 Acc: 0.920178
Repeat 185 	 Acc: 0.924230
Repeat 186 	 Acc: 0.921394
Repeat 187 	 Acc: 0.919773
Repeat 188 	 Acc: 0.926256
Repeat 189 	 Acc: 0.923015
Repeat 190 	 Acc: 0.919368
Repeat 191 	 Acc: 0.918558
Repeat 192 	 Acc: 0.922609
Repeat 193 	 Acc: 0.919368
Repeat 194 	 Acc: 0.920583
Repeat 195 	 Acc: 0.924230
Repeat 196 	 Acc: 0.916937
Repeat 197 	 Acc: 0.919773
Repeat 198 	 Acc: 0.923015
Repeat 199 	 Acc: 0.919773
Repeat 200 	 Acc: 0.920989
Repeat 201 	 Acc: 0.918558
Repeat 202 	 Acc: 0.918963
Repeat 203 	 Acc: 0.918152
Repeat 204 	 Acc: 0.920178
Repeat 205 	 Acc: 0.917747
Repeat 206 	 Acc: 0.919773
Repeat 207 	 Acc: 0.920178
Repeat 208 	 Acc: 0.917747
Repeat 209 	 Acc: 0.919368
Repeat 210 	 Acc: 0.920178
Repeat 211 	 Acc: 0.916126
Repeat 212 	 Acc: 0.920989
Repeat 213 	 Acc: 0.919368
Repeat 214 	 Acc: 0.916126
Repeat 215 	 Acc: 0.918963
Repeat 216 	 Acc: 0.920178
Repeat 217 	 Acc: 0.919368
Repeat 218 	 Acc: 0.918558
Repeat 219 	 Acc: 0.920989
Repeat 220 	 Acc: 0.916532
Repeat 221 	 Acc: 0.920583
Repeat 222 	 Acc: 0.921394
Repeat 223 	 Acc: 0.921799
Repeat 224 	 Acc: 0.919773
Repeat 225 	 Acc: 0.918152
Repeat 226 	 Acc: 0.918963
Repeat 227 	 Acc: 0.919368
Repeat 228 	 Acc: 0.921394
Repeat 229 	 Acc: 0.920178
Repeat 230 	 Acc: 0.919773
Repeat 231 	 Acc: 0.920583
Repeat 232 	 Acc: 0.920583
Repeat 233 	 Acc: 0.918558
Repeat 234 	 Acc: 0.920583
Repeat 235 	 Acc: 0.920989
Repeat 236 	 Acc: 0.917747
Repeat 237 	 Acc: 0.922204
Repeat 238 	 Acc: 0.922204
Repeat 239 	 Acc: 0.921394
Repeat 240 	 Acc: 0.924635
Repeat 241 	 Acc: 0.920583
Repeat 242 	 Acc: 0.919368
Repeat 243 	 Acc: 0.918152
Repeat 244 	 Acc: 0.920583
Repeat 245 	 Acc: 0.918963
Repeat 246 	 Acc: 0.918558
Repeat 247 	 Acc: 0.920178
Repeat 248 	 Acc: 0.921799
Repeat 249 	 Acc: 0.915316
Repeat 250 	 Acc: 0.920583
Repeat 251 	 Acc: 0.920583
Repeat 252 	 Acc: 0.922204
Repeat 253 	 Acc: 0.922609
Repeat 254 	 Acc: 0.920178
Repeat 255 	 Acc: 0.921799
Repeat 256 	 Acc: 0.918152
Repeat 257 	 Acc: 0.919773
Repeat 258 	 Acc: 0.922609
Repeat 259 	 Acc: 0.921799
Repeat 260 	 Acc: 0.919368
Repeat 261 	 Acc: 0.918963
Repeat 262 	 Acc: 0.918963
Repeat 263 	 Acc: 0.919368
Repeat 264 	 Acc: 0.919368
Repeat 265 	 Acc: 0.920178
Repeat 266 	 Acc: 0.920178
Repeat 267 	 Acc: 0.922609
Repeat 268 	 Acc: 0.915721
Repeat 269 	 Acc: 0.918963
Repeat 270 	 Acc: 0.920583
Repeat 271 	 Acc: 0.919368
Repeat 272 	 Acc: 0.917747
Repeat 273 	 Acc: 0.919773
Repeat 274 	 Acc: 0.920178
Repeat 275 	 Acc: 0.920583
Repeat 276 	 Acc: 0.918963
Repeat 277 	 Acc: 0.920178
Repeat 278 	 Acc: 0.919773
Repeat 279 	 Acc: 0.920583
Repeat 280 	 Acc: 0.921394
Repeat 281 	 Acc: 0.916937
Repeat 282 	 Acc: 0.921799
Repeat 283 	 Acc: 0.920178
Repeat 284 	 Acc: 0.923825
Repeat 285 	 Acc: 0.921799
Repeat 286 	 Acc: 0.920583
Repeat 287 	 Acc: 0.917747
Repeat 288 	 Acc: 0.919368
Repeat 289 	 Acc: 0.917747
Repeat 290 	 Acc: 0.921394
Repeat 291 	 Acc: 0.921799
Repeat 292 	 Acc: 0.920178
Repeat 293 	 Acc: 0.920583
Repeat 294 	 Acc: 0.916126
Repeat 295 	 Acc: 0.919368
Repeat 296 	 Acc: 0.922609
Repeat 297 	 Acc: 0.918963
Repeat 298 	 Acc: 0.918152
Repeat 299 	 Acc: 0.919773
Repeat 300 	 Acc: 0.920178

Best voting acc: 0.926256
